algorithm,controller,second,bits_per_second,path,hop_count,total_bandwidth_mbps
astar,astar_osken_controller.py,18,94372408.12842017,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
astar,astar_osken_controller.py,19,94371086.25602017,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
astar,astar_osken_controller.py,20,94376087.0661244,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
bellman-ford,bellman_ford_osken_controller.py,1,113234774.65442798,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
bellman-ford,bellman_ford_osken_controller.py,2,94373634.4091187,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
bellman-ford,bellman_ford_osken_controller.py,3,94368532.61591564,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
bellman-ford,bellman_ford_osken_controller.py,4,94378539.85061657,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
bellman-ford,bellman_ford_osken_controller.py,5,104850150.52927548,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
bellman-ford,bellman_ford_osken_controller.py,6,94377785.9996105,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
bellman-ford,bellman_ford_osken_controller.py,7,94371648.7503876,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
bellman-ford,bellman_ford_osken_controller.py,8,94373161.8935159,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
bellman-ford,bellman_ford_osken_controller.py,9,94364201.86825413,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
bellman-ford,bellman_ford_osken_controller.py,10,94372785.00946292,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
