algorithm,controller,second,bits_per_second,path,hop_count,total_bandwidth_mbps
bfs,bfs_osken_controller.py,1,40886611.88296897,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,2,52433519.17473995,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,3,41941070.09252352,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,4,52429534.3852866,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,5,41938845.41952765,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,6,52434147.4203489,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,7,41938175.56422901,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,8,52437032.54249793,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,9,52428750.00004768,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,10,41942790.0014901,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,11,52428225.0063061,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,12,41943082.500043064,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,13,52428431.25259353,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,14,41938635.46257942,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,15,52432259.60327273,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,16,52432940.95203647,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,17,41939055.3785781,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,18,52432940.95203647,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,19,41940105.20536476,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,20,52429218.7533446,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
astar,astar_osken_controller.py,1,50327118.40767696,Access1 -> Dist2 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,6,0.0
astar,astar_osken_controller.py,2,94373730.0378521,Access1 -> Dist2 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,6,0.0
astar,astar_osken_controller.py,3,94371457.5015503,Access1 -> Dist2 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,6,0.0
astar,astar_osken_controller.py,4,94370422.52129106,Access1 -> Dist2 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,6,0.0
astar,astar_osken_controller.py,5,94371648.7503876,Access1 -> Dist2 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,6,0.0
astar,astar_osken_controller.py,6,94367126.4854339,Access1 -> Dist2 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,6,0.0
astar,astar_osken_controller.py,7,94374956.352905,Access1 -> Dist2 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,6,0.0
astar,astar_osken_controller.py,8,104865675.62189719,Access1 -> Dist2 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,6,0.0
