scenario_type,algorithm,controller,topology_event,convergence_id,convergence_t1,convergence_t2,convergence_ms,path,hop_count,controller_log,phantom_seed,phantom_nodes,phantom_edges,source_node,destination_node,computation_time_us,nodes_visited,queue_pops,heap_pops,relaxations,convergence_source
scenario_a,astar,astar_osken_controller.py,Core1<->Core2_down,,,,5007.704381998337,,0,/tmp/hierarchy_conv_astar_tll5w6ur/controller.log,,,,,,,,,,,fallback_elapsed
scenario_b,astar,phantom_graph,,,,,,s0 -> s388 -> s16 -> s17 -> s268 -> s499,5,,42,500,2000,0,499,1356.5350018325262,252,0,266,784,
