algorithm,controller,second,bits_per_second,path,hop_count,total_bandwidth_mbps
bellman-ford,bellman_ford_osken_controller.py,2,104929161.30454819,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bellman-ford,bellman_ford_osken_controller.py,3,94372121.2508382,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bellman-ford,bellman_ford_osken_controller.py,4,94375895.79929776,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bellman-ford,bellman_ford_osken_controller.py,5,94371558.7508382,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bellman-ford,bellman_ford_osken_controller.py,6,94370613.76593345,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bellman-ford,bellman_ford_osken_controller.py,7,94372498.12958963,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bellman-ford,bellman_ford_osken_controller.py,8,94371457.5015503,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bellman-ford,bellman_ford_osken_controller.py,9,94363819.431718,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bellman-ford,bellman_ford_osken_controller.py,10,104867563.44662511,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bellman-ford,bellman_ford_osken_controller.py,11,94372689.3826447,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bellman-ford,bellman_ford_osken_controller.py,12,94370141.28057797,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bellman-ford,bellman_ford_osken_controller.py,13,94372031.2503876,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bellman-ford,bellman_ford_osken_controller.py,14,94370703.76368044,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bellman-ford,bellman_ford_osken_controller.py,15,94370051.2839038,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bellman-ford,bellman_ford_osken_controller.py,16,94378258.5615193,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bellman-ford,bellman_ford_osken_controller.py,17,94366080.35154104,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bellman-ford,bellman_ford_osken_controller.py,18,104861268.87836644,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bellman-ford,bellman_ford_osken_controller.py,19,94372880.63647495,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bellman-ford,bellman_ford_osken_controller.py,20,94370422.52129106,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
dijkstra,dijkstra_osken_controller.py,1,53471709.22554809,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
dijkstra,dijkstra_osken_controller.py,2,94377409.0786235,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
dijkstra,dijkstra_osken_controller.py,3,94367025.24565636,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
dijkstra,dijkstra_osken_controller.py,4,94377032.16064717,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
dijkstra,dijkstra_osken_controller.py,5,94365900.37385495,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
dijkstra,dijkstra_osken_controller.py,6,94371558.7508382,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
dijkstra,dijkstra_osken_controller.py,7,94370703.76368044,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
dijkstra,dijkstra_osken_controller.py,8,94369668.79995365,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
dijkstra,dijkstra_osken_controller.py,9,94374106.92945316,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
dijkstra,dijkstra_osken_controller.py,10,104864100.40295237,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
dijkstra,dijkstra_osken_controller.py,11,94368723.8528982,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
dijkstra,dijkstra_osken_controller.py,12,94369860.0415412,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
dijkstra,dijkstra_osken_controller.py,13,94372121.2508382,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
dijkstra,dijkstra_osken_controller.py,14,94371367.5023657,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
dijkstra,dijkstra_osken_controller.py,15,94372689.3826447,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
dijkstra,dijkstra_osken_controller.py,16,94368532.61591564,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
dijkstra,dijkstra_osken_controller.py,17,94381369.7122176,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
dijkstra,dijkstra_osken_controller.py,18,104833168.19393407,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
dijkstra,dijkstra_osken_controller.py,19,94390152.92794827,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
dijkstra,dijkstra_osken_controller.py,20,94369668.79995365,Access1 -> Dist2 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
