scenario_type,algorithm,controller,topology_event,convergence_id,convergence_t1,convergence_t2,convergence_ms,path,hop_count,controller_log,phantom_seed,phantom_nodes,phantom_edges,source_node,destination_node,computation_time_us,nodes_visited,queue_pops,heap_pops,relaxations,path_source,convergence_source
scenario_a,bfs,bfs_osken_controller.py,Core1<->Core3_down,1,3612.648912778,,5005.8357279999655,s10 -> s4 -> s1 -> s2 -> s6 -> s13,5,/tmp/hierarchy_conv_bfs_dap0xgrh/controller.log,,,,,,,,,,,topology_fallback,fallback_elapsed
scenario_b,bfs,phantom_graph,,,,,,s0 -> s388 -> s389 -> s268 -> s499,4,,42,500,2000,0,499,574.5020002905221,418,418,0,0,,
scenario_a,astar,astar_osken_controller.py,Core1<->Core3_down,1,5681.2007543,,5006.787749000068,s10 -> s4 -> s1 -> s2 -> s6 -> s13,5,/tmp/hierarchy_conv_astar_2f19z16k/controller.log,,,,,,,,,,,topology_fallback,fallback_elapsed
scenario_b,astar,phantom_graph,,,,,,s0 -> s388 -> s16 -> s17 -> s268 -> s499,5,,42,500,2000,0,499,855.1030005037319,252,0,266,784,,
scenario_a,bellman-ford,bellman_ford_osken_controller.py,Core1<->Core3_down,1,5310.37054079,,5006.073626999751,s10 -> s4 -> s1 -> s2 -> s6 -> s13,5,/tmp/hierarchy_conv_bellman-ford_5mdrfgzc/controller.log,,,,,,,,,,,topology_fallback,fallback_elapsed
scenario_b,bellman-ford,phantom_graph,,,,,,s0 -> s388 -> s16 -> s17 -> s268 -> s499,5,,42,500,2000,0,499,4331.1879999237135,500,0,0,2639,,
scenario_a,dijkstra,dijkstra_osken_controller.py,Core1<->Core3_down,1,6264.09033528,,5006.744243000867,s10 -> s4 -> s1 -> s2 -> s6 -> s13,5,/tmp/hierarchy_conv_dijkstra_87bedjtz/controller.log,,,,,,,,,,,topology_fallback,fallback_elapsed
scenario_b,dijkstra,phantom_graph,,,,,,s0 -> s388 -> s16 -> s17 -> s268 -> s499,5,,42,500,2000,0,499,664.3240003540996,285,0,307,802,,
